format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	3701992764-9868
shellcheck_version	0.11.0
analysis_mode	full
partition	1of2
jobs	2
root_count	207
direct_lines	144551
direct_bytes	6941078
source_directives	431
source_boundary_directives	76
source_followed_directives	355
source_target_count	68
shard_1_weight_bytes	3470551
shard_2_weight_bytes	3470527
wall_seconds	391
worker_wall_sum_seconds	683.29
max_worker_wall_seconds	391.00
user_seconds	656.26
system_seconds	29.00
max_worker_rss_kib	12722104
worker_rss_sum_kib	21622892
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	3.91/6.04/5.06
load_average_end	2.87/4.42/4.70
aggregate_cpu_percent_start	50.10
aggregate_cpu_percent_end	36.70
result_exit	0
