format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	1249123926-4862
shellcheck_version	0.11.0
analysis_mode	full
partition	3of4
jobs	1
root_count	104
direct_lines	70725
direct_bytes	3471130
source_directives	191
source_boundary_directives	32
source_followed_directives	159
source_target_count	52
shard_1_weight_bytes	1735839
shard_2_weight_bytes	1735291
wall_seconds	262
worker_wall_sum_seconds	261.70
max_worker_wall_seconds	140.61
user_seconds	249.48
system_seconds	11.57
max_worker_rss_kib	6513556
worker_rss_sum_kib	10785536
shellcheck_processes_start	0
shellcheck_processes_end	4
load_average_start	3.73/7.45/4.88
load_average_end	5.85/6.75/5.21
aggregate_cpu_percent_start	57.10
aggregate_cpu_percent_end	390.20
result_exit	0
