format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	3357792293-4823
shellcheck_version	0.11.0
analysis_mode	full
partition	4of4
jobs	2
root_count	103
direct_lines	74149
direct_bytes	3470974
source_directives	215
source_boundary_directives	34
source_followed_directives	181
source_target_count	61
shard_1_weight_bytes	1735899
shard_2_weight_bytes	1735075
wall_seconds	108
worker_wall_sum_seconds	175.71
max_worker_wall_seconds	108.00
user_seconds	169.42
system_seconds	7.42
max_worker_rss_kib	4783984
worker_rss_sum_kib	6733336
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	2.50/4.29/4.65
load_average_end	2.23/3.71/4.41
aggregate_cpu_percent_start	40.90
aggregate_cpu_percent_end	37.10
result_exit	0
